# memory source: cgroup2
epoch,mem_bytes,anon_bytes,disk_kb
1789680974,131018752,1380352,61859888
1789680979,130748416,1392640,61859872
1789680984,229203968,80269312,61877716
1789680989,198553600,4079616,61920556
1789680994,306012160,4079616,62022200
1789680999,410841088,4079616,62121768
1789681004,515690496,4083712,62221192
1789681009,619704320,4083712,62320012
1789681014,726126592,4079616,62420836
1789681019,832757760,4079616,62521696
1789681024,942686208,4079616,62626344
1789681029,1004298240,4075520,62684568
1789681034,1116815360,4075520,62791192
1789681039,1224724480,4079616,62893536
1789681044,1331941376,4079616,62995408
1789681049,1439870976,4075520,63097516
1789681054,1549279232,4079616,63201496
1789681059,1608888320,4079616,63258080
1789681064,1714212864,4079616,63358060
1789681069,1820925952,4079616,63459208
1789681074,1923985408,4083712,63556860
1789681079,2017873920,4079616,63645672
1789681084,2121814016,4079616,63744212
1789681089,2224709632,4083712,63842120
1789681094,2329559040,4079616,63941368
1789681099,2434461696,4083712,64041132
1789681104,2531053568,4079616,64132480
1789681109,2992640000,5001216,64569208
1789681114,4113362944,4997120,65617832
1789681119,5201670144,4997120,66665708
1789681124,6344187904,4997120,67748348
1789681129,7480143872,4997120,68825488
1789681134,7571849216,4083712,68913500
1789681139,7680880640,4083712,69017008
1789681144,7788441600,4087808,69119088
1789681149,7851597824,4083712,69178716
1789681154,7943884800,4087808,69266328
1789681159,8006201344,4091904,69325456
1789681164,8114999296,4087808,69428844
1789681169,8222363648,4087808,69530496
1789681174,8331530240,4087808,69634064
1789681179,8437604352,4091904,69734916
1789681184,8542736384,4087808,69834344
1789681189,8651038720,4091904,69937248
1789681194,8759824384,4091904,70040472
1789681199,8868044800,4087808,70143172
1789681204,8977563648,4087808,70246796
1789681209,9086001152,4087808,70349816
1789681214,9192214528,4091904,70450524
1789681219,9299988480,4091904,70552420
1789681224,9406103552,4087808,70653448
1789681229,9514696704,4091904,70756488
1789681234,9628291072,4087808,70863800
1789681239,9741795328,4087808,70971932
1789681244,9855225856,4091904,71079140
1789681249,9966735360,4087808,71184892
1789681254,10079870976,4091904,71292292
1789681259,10146332672,4091904,71355844
1789681264,10250870784,4091904,71454508
1789681269,10353369088,4091904,71551904
1789681274,10451116032,4055040,71644496
1789681279,10524504064,4087808,71714316
1789681284,10632081408,4091904,71816040
1789681289,10738659328,4091904,71917180
1789681294,10776809472,4087808,71953560
1789681299,10883624960,4087808,72054936
1789681304,10990583808,4087808,72156068
1789681309,11095199744,4087808,72255372
1789681314,11299807232,188510208,72359468
1789681319,11329273856,214142976,72490464
1789681324,11334483968,215412736,72620408
1789681329,11336208384,215977984,72740464
1789681334,11340263424,217784320,72865588
1789681340,11345559552,218210304,72996564
1789681345,11349012480,218779648,73126852
1789681350,11353477120,218779648,73254148
1789681355,11356479488,218779648,73371284
1789681360,11359952896,218783744,73488420
1789681365,11363676160,218775552,73604952
1789681370,11366764544,218779648,73724072
1789681375,11372003328,219955200,73838704
1789681380,11373977600,219959296,73953480
1789681385,11376947200,219963392,74067648
1789681390,11379855360,219959296,74182080
1789681395,11382595584,219963392,74293632
1789681400,11385716736,219955200,74404644
1789681405,11386966016,220082176,74514164
1789681410,11388944384,221229056,74625200
1789681415,11389517824,221224960,74736280
1789681420,11388542976,221224960,74846840
1789681425,11387994112,221880320,74957988
1789681430,11388760064,221880320,75071896
1789681435,11389079552,221876224,75186556
1789681440,11390345216,221880320,75302196
1789681445,11390758912,221876224,75416768
1789681450,11390816256,221876224,75532400
1789681455,11391623168,221876224,75649492
1789681460,11391643648,221872128,75770412
1789681465,11392729088,221876224,75893732
1789681470,11392733184,221872128,76015872
1789681475,11393576960,221876224,76138512
1789681480,11394084864,221872128,76260860
1789681485,11394695168,221880320,76383860
1789681490,11396132864,221872128,76506612
1789681495,11396407296,221876224,76628352
1789681500,11397304320,221880320,76750048
1789681505,11398561792,221876224,76871604
1789681510,11398692864,221880320,76991384
1789681515,11399577600,221872128,77111808
1789681520,11399704576,221876224,77232848
1789681525,11399991296,221876224,77353648
1789681530,11400695808,221876224,77475576
1789681535,11401596928,221876224,77597408
1789681540,11406364672,225902592,77714740
1789681545,11407355904,225906688,77836352
1789681550,11407466496,225902592,77957532
1789681555,11408760832,227524608,78078168
1789681560,11426971648,242888704,78192364
1789681565,11427348480,243154944,78310576
1789681570,11401474048,217153536,78429180
1789681575,12121055232,1027141632,78525884
1789681580,12151980032,1049251840,78640004
1789681585,12163706880,1050247168,78751920
1789681590,12168540160,1054769152,78853440
1789681595,12173340672,1056956416,78959656
1789681600,12186386432,1057619968,79071800
1789681605,12190556160,1057718272,79182420
1789681610,12196519936,1057869824,79289164
1789681615,12198600704,1057882112,79395132
1789681620,12201791488,1057980416,79500928
1789681625,12206514176,1058021376,79606628
1789681630,12206809088,1058078720,79706944
1789681635,12207833088,1058168832,79809808
1789681640,12214538240,1058168832,79911296
1789681645,12216844288,1058340864,80008560
1789681650,12214054912,1058418688,80105088
1789681655,12217319424,1058627584,80204472
1789681660,12218613760,1059921920,80302236
1789681665,12220035072,1059946496,80402164
1789681670,12225470464,1060487168,80502920
1789681675,12227837952,1060487168,80600724
1789681680,12231405568,1060904960,80700236
1789681685,12233633792,1060904960,80799168
1789681690,12237815808,1060904960,80895732
1789681695,12240367616,1060909056,80988956
1789681700,12242407424,1060900864,81081912
1789681705,12239482880,1060904960,81172656
1789681710,12241711104,1060904960,81267708
1789681715,12243873792,1060904960,81361980
1789681720,12247076864,1060900864,81455800
1789681725,12248997888,1060900864,81547732
1789681730,12254052352,1060933632,81638996
1789681735,12255543296,1060937728,81727484
1789681740,12257873920,1060958208,81815668
1789681745,12258684928,1060954112,81905116
1789681750,12261613568,1060950016,81996280
1789681755,12259676160,1060954112,82087572
1789681760,12263120896,1060950016,82179976
1789681765,12264800256,1060954112,82271192
1789681770,12267114496,1060954112,82362396
1789681775,12269019136,1060950016,82452780
1789681780,12272103424,1060954112,82542192
1789681785,12271034368,1135296512,82620568
1789681790,12213444608,1150455808,82752156
1789681795,11422867456,544194560,82918320
1789681800,10155159552,544444416,82918320
1789681805,8978268160,543170560,82918324
1789681810,7797977088,543813632,82918324
1789681815,6616735744,544161792,82918324
1789681820,5459177472,545050624,82918324
1789681825,4217626624,551882752,82918324
1789681830,3025600512,550727680,82918324
1789681835,1911599104,550064128,82918324
1789681841,1119240192,711655424,82918324
1789681846,974860288,697647104,82918328
1789681851,974643200,697651200,82918328
1789681856,974962688,697651200,82918328
1789681861,974712832,697651200,82918328
1789681866,974745600,697651200,82918328
1789681871,974721024,697647104,82918328
1789681876,983334912,705789952,82918328
1789681881,987070464,709808128,82918328
1789681886,989720576,711581696,82918328
1789681891,990261248,712151040,82918328
1789681896,990318592,714039296,82918328
1789681901,993480704,717021184,82918328
1789681906,993804288,717565952,82918328
1789681911,994873344,717463552,82918328
1789681916,1010044928,732770304,82918328
1789681921,1020575744,742780928,82918328
1789681926,1027620864,750182400,82918328
1789681931,1031020544,753647616,82918328
1789681936,1032892416,755671040,82918328
1789681941,1041903616,764760064,82918328
1789681946,1046417408,768962560,82918328
1789681951,1048465408,771244032,82918328
1789681956,1051406336,774029312,82918332
1789681961,1056587776,778924032,82918332
1789681966,1065553920,788082688,82918332
1789681971,1065598976,788082688,82918336
1789681976,1065955328,788082688,82918336
1789681981,1065558016,788078592,82918336
1789681986,566513664,288468992,82918352
1789681991,649449472,369844224,82918352
1789681996,668434432,389165056,82918352
1789682001,668467200,389160960,82918352
1789682006,646119424,367882240,82918360
1789682011,645779456,367882240,82918372
1789682016,645906432,368263168,82918372
1789682021,648212480,370458624,82918396
1789682026,648847360,370454528,82918416
1789682031,648400896,370458624,82918432
1789682036,656506880,378294272,82918452
1789682041,342396928,13787136,82969728
1789682046,342323200,13848576,82969728
1789682051,340926464,12337152,82969728
1789682056,341274624,12873728,82969728
1789682061,341876736,13172736,82969728
1789682066,343101440,14200832,82969728
1789682071,584105984,185315328,83035264
1789682076,698376192,196632576,83133568
1789682081,844066816,203517952,83264640
1789682086,956174336,211968000,83362944
1789682091,1099313152,218095616,83494016
1789682096,1209536512,224333824,83592320
1789682101,1358516224,236072960,83723400
1789682106,1494433792,234131456,83854476
1789682111,1638850560,240029696,83985548
1789682116,1782272000,245948416,84116628
1789682121,1896366080,256790528,84214932
1789682126,2072956928,261611520,84378772
1789682131,2285363200,266604544,84575380
1789682136,2424348672,267993088,84706464
1789682141,2563293184,268443648,84837536
1789682146,2702594048,270090240,84968608
1789682151,2840854528,270344192,85099680
1789682156,2981072896,273141760,85230752
1789682161,3158503424,277893120,85394592
1789682166,3263664128,279330816,85492920
1789682171,3439046656,282148864,85656760
